Group,ID,Type,Tank,Origin,Fam,Trmt,T0,T7,T11,T14,T18,T21,T25,T28
H3-1-2,22,R,H3,inshore,20,heat,6.22192008,6.081735717,5.906313246,5.952096538,5.668939061,5.472446755,5.146627729,4.960190598
C1-3-4,22,R,C1,offshore,32,control,7.040493129,5.642918082,5.989624402,6.11613531,6.208157143,6.001562388,6.078864182,6.170690212
C1-3-4,23,R,C1,offshore,32,control,7.218384756,6.669497636,6.561933134,6.608205439,6.671548661,6.4623546,6.671176031,6.216364342
C1-3-4,24,R,C1,offshore,32,control,6.507484011,6.147167288,6.114361559,6.201411395,6.286881724,5.813243429,5.77258606,6.080829578
C1-3-4,25,R,C1,offshore,32,control,6.588218759,6.339042057,5.515531609,6.468991477,5.201969831,5.420826581,5.469573162,5.342967226
C1-3-4,26,R,C1,offshore,32,control,7.078086494,6.288761621,6.496858309,6.836871044,6.321865985,6.464964649,5.628685665,6.017102909
C1-3-4,27,R,C1,offshore,32,control,6.583247735,5.967429175,6.536744222,6.300591657,6.435534844,6.822818127,6.521244573,6.447428801
C1-3-4,28,R,C1,offshore,32,control,6.76895097,6.485177316,6.300134989,6.546648245,5.967985197,6.361749092,6.090119605,6.414781447
C1-3-4,31,A,C1,offshore,32,control,5.086384059,5.023880084,5.140810178,5.611664941,5.021823663,4.967982387,4.730147417,5.168673363
C2-1-2,22,R,C2,offshore,32,control,6.166870622,5.593167472,5.238446003,5.874868247,5.531657843,5.802736566,5.460879831,5.244834731
C2-1-2,23,R,C2,offshore,32,control,6.637205389,5.788892483,5.369897226,5.879596577,5.534905504,6.005781565,5.913196576,5.437470129
C2-3-4,24,A,C2,offshore,32,control,4.905124614,4.233137604,4.409474716,4.479731801,4.385931156,4.376197872,4.412176308,3.927498337
C2-3-4,28,R,C2,offshore,32,control,5.491930242,4.693278502,4.862388139,4.895593982,4.699368115,5.061195735,4.728302239,4.439930328
C2-3-4,29,R,C2,offshore,32,control,6.347312463,5.309037708,5.177581172,5.266089861,5.588101361,5.586510626,5.250304781,4.945289884
C2-3-4,30,R,C2,offshore,32,control,5.546016712,5.030690233,5.191374536,5.393066019,5.004378037,5.250561636,4.896379183,4.46575296
C2-3-4,35,R,C2,offshore,32,control,5.116177307,5.317142318,5.891974694,6.041671814,5.290482692,5.299030523,5.262594119,4.854671915
C2-3-4,36,R,C2,offshore,32,control,5.532152089,5.467536353,5.321017481,5.386758862,5.641734377,6.039906473,4.955176678,5.346293684
C2-3-4,37,R,C2,offshore,32,control,5.536665313,5.240263212,4.878052411,4.594437159,5.00630942,4.92802394,4.559636583,4.56228479
C2-3-4,38,R,C2,offshore,32,control,5.974736838,4.083253689,3.782287057,4.214262372,4.171246331,4.235420804,3.900096471,3.894349176
C3-1-2,8,R,C3,offshore,32,control,6.836375682,5.312735975,5.528409905,5.512597885,6.109340274,6.293498316,5.776319746,5.584046693
C3-1-2,9,R,C3,offshore,32,control,6.732382907,5.366343738,5.474032673,5.398160443,6.122431171,5.569405121,5.518122389,5.367236533
C3-1-2,28,R,C3,offshore,32,control,6.111064123,5.477698599,5.768870487,5.802268751,6.104053566,5.844573296,5.675890072,5.538650755
C3-1-2,29,R,C3,offshore,32,control,6.489158179,5.421546163,5.863078613,5.713587586,5.882335486,5.732173672,5.595243069,5.440659832
C3-1-2,30,R,C3,offshore,32,control,6.34816765,5.35677577,5.749864186,5.718054799,6.635889244,6.148700945,6.214959042,5.656631267
C3-1-2,37,R,C3,offshore,32,control,5.658594252,5.913574901,5.522459502,5.851631346,5.940159634,5.921375529,5.632494248,5.555806448
C3-1-2,38,R,C3,offshore,32,control,5.938018135,6.090550551,6.188323502,6.192973843,6.291156489,6.258734538,6.140846996,6.0508776
C3-1-2,39,R,C3,offshore,32,control,5.501880092,6.377196179,5.743022819,6.058803554,5.862894209,6.153207394,5.761906309,5.607856273
C3-1-2,43,R,C3,offshore,32,control,5.904458783,5.79323506,6.079219669,6.052163146,5.809976968,6.205294773,6.111510753,6.025888901
C3-1-2,44,R,C3,offshore,32,control,5.071038552,5.613558179,4.682236004,5.179545463,NA,NA,NA,NA
C3-3-4,50,A,C3,offshore,32,control,4.86178522,4.959289927,5.268512074,4.944775778,5.032825207,5.458471112,5.339251768,4.878909426
H1-1-2,13,R,H1,offshore,32,heat,5.542514214,5.911169911,5.118393294,5.882854383,5.026526169,5.276309174,4.216304905,4.818684706
H1-1-2,14,R,H1,offshore,32,heat,5.805219263,5.657806096,4.806262521,5.470755827,5.477498938,5.334147853,4.332208594,4.818862401
H1-1-2,15,R,H1,offshore,32,heat,5.546347251,5.483958285,4.607257356,5.164641178,5.049436551,4.999006208,3.98456609,4.531281622
H1-1-2,16,R,H1,offshore,32,heat,5.467166629,5.720365482,4.813528135,5.394822683,5.374281641,5.279886825,4.053025027,4.693267928
H1-1-2,17,R,H1,offshore,32,heat,6.306566404,6.427888014,5.501182162,6.245295887,6.324459559,6.108568823,5.164617159,5.582166896
H1-1-2,37,A,H1,offshore,32,heat,5.025091816,5.77927068,5.398571103,5.848106788,6.11404954,5.471322309,4.606329838,4.404020171
H1-3-4,30,R,H1,offshore,32,heat,6.016533661,5.790572666,5.629289013,5.370835657,5.350336794,5.123209144,4.587465228,4.499606432
H1-3-4,31,R,H1,offshore,32,heat,6.035047214,5.705238823,5.204443855,4.976782412,4.970841121,4.59044156,4.048438704,4.07480953
H1-3-4,32,R,H1,offshore,32,heat,6.323874185,6.206066328,5.526419583,5.360669123,5.476606275,5.225902191,4.448013111,4.355896553
H1-3-4,33,R,H1,offshore,32,heat,6.034774956,5.825283483,5.312819872,5.199045253,5.18514839,4.955972683,4.345437738,4.490287238
H1-3-4,34,R,H1,offshore,32,heat,6.658323838,6.510174533,6.069736168,5.713776053,5.796312933,5.226774399,5.020709705,4.80951459
H2-1-2,24,R,H2,offshore,32,heat,5.346468752,5.745215451,5.428859304,5.961139411,6.576337712,6.217925727,6.142718118,6.604031801
H2-1-2,25,R,H2,offshore,32,heat,5.616114619,5.875278491,5.506001912,5.79190148,6.432453341,6.005905839,5.73014099,5.691095124
H2-1-2,26,R,H2,offshore,32,heat,5.516181965,5.628881106,5.163496626,5.482190702,5.870112039,5.466273902,5.012913703,5.085610652
H2-1-2,27,R,H2,offshore,32,heat,5.208953668,5.681180896,5.122163183,5.537038811,6.279158288,6.142194161,6.128194222,6.332773888
H2-1-2,47,A,H2,offshore,32,heat,5.233990871,6.286698407,6.34684624,6.285603754,6.070328656,5.839997349,4.811069739,4.799378367
H2-3-4,13,A,H2,offshore,32,heat,5.105687037,5.465571349,5.09242623,5.202898065,5.531929654,5.091356148,4.720665221,4.435254032
H2-3-4,21,R,H2,offshore,32,heat,5.496377486,4.820039778,4.72703203,4.542453155,4.496226452,6.382180999,5.31558702,5.033632839
H2-3-4,22,R,H2,offshore,32,heat,5.853950441,5.277722493,4.535985889,4.382224357,4.365753919,4.875144887,5.44291502,4.765167852
H2-3-4,23,R,H2,offshore,32,heat,6.015305509,4.797637232,4.958583566,4.942805055,5.303012936,5.524538993,6.195605985,5.965834493
H2-3-4,24,R,H2,offshore,32,heat,6.619197022,5.939859612,5.441841481,5.094321743,5.050742052,4.960098248,4.678239776,4.280549569
H2-3-4,25,R,H2,offshore,32,heat,6.670519352,6.352966216,5.592935661,5.751446947,6.249527736,5.608295546,5.376837111,5.078408074
H2-3-4,26,R,H2,offshore,32,heat,6.216344727,6.307052927,5.610112601,5.563864813,5.574546123,5.380004953,5.205784761,4.765963749
H2-3-4,27,R,H2,offshore,32,heat,6.564515412,5.810481313,5.276479041,5.164167365,5.17223273,4.999708294,4.819066007,4.441073891
H2-3-4,28,R,H2,offshore,32,heat,6.139379895,5.902797532,5.679409958,5.531937552,5.619226734,5.131647952,4.821012386,4.41122766
H2-3-4,29,R,H2,offshore,32,heat,5.76649984,5.379446305,5.046614637,4.752260205,4.837673032,4.542523911,4.47902218,4.106120053
H2-3-4,30,R,H2,offshore,32,heat,5.941667618,5.691197158,5.572103217,5.266888206,5.537306017,5.27042386,4.930353078,4.43512001
H3-1-2,37,A,H3,offshore,32,heat,5.737818913,4.815075967,5.627575496,6.385095801,5.942985819,5.272338455,4.808268815,4.292563274
H3-1-2,46,R,H3,offshore,32,heat,6.298756583,6.174572946,5.366989104,5.923907002,6.312054925,5.441394418,5.53896502,5.34124935
H3-1-2,47,R,H3,offshore,32,heat,6.604657499,5.9981218,5.486270107,6.29922191,6.310587426,5.639705827,5.532460306,5.438920481
H3-3-4,4,R,H3,offshore,32,heat,5.66484292,5.676483976,5.287811101,5.215551982,4.352375136,4.444090927,3.885058166,3.617213899
H3-3-4,5,R,H3,offshore,32,heat,6.438989842,6.101304387,5.768422839,6.020115677,5.234839588,5.341795859,4.910945762,4.854086997
H3-3-4,6,R,H3,offshore,32,heat,6.626077628,5.683908886,5.700585297,5.830313199,5.016025797,5.030729104,4.709956187,4.772637073
H3-3-4,14,R,H3,offshore,32,heat,6.321906159,5.216850966,5.062629378,5.454613462,4.777921217,5.100853069,4.933273531,4.935841692
H3-3-4,15,R,H3,offshore,32,heat,6.138646723,4.991569436,4.646096256,4.757798285,4.182639963,4.126957268,4.067606512,4.080579393
